Company Name: MARKET PURCHASE
Phone No: 9894404450


Stock Summary Report
Dated: 06/09/2026 - 06/09/2026
Total Stock Value: 461023.1


Name,Batch No.,Item Code,Purchase Price,Selling Price,Stock Quantity,Stock Value,Item Category Name,MRP,batch no.,exp. date,mfg date
 MINT & LIME MIJITO  MANAMA 750ML,07/03/26,8906000482032,255.0,270.0,0.0 PCS,0.0,SYRUP,0.0,"","",""
 MINT & LIME MIJITO  MANAMA 750ML,Batch #1,8906000482032,230.0,255.0,0.0 PCS,0.0,SYRUP,0.0,"","",""
 MINT & LIME MIJITO  MANAMA 750ML,16/05/26,8906000482032,247.0,265.0,33.0 PCS,8151.0,SYRUP,0.0,"","",""
 WATERMELON ,27/12/25,"",450.0,480.0,0.0 BOX,0.0,FRUITS,0.0,"","",""
 WATERMELON ,3/1/26,"",475.0,525.0,0.0 BOX,0.0,FRUITS,0.0,"","",""
 WATERMELON ,02/01/26,"",650.0,700.0,0.0 BOX,0.0,FRUITS,0.0,"","",""
 WATERMELON ,04/01/26,"",550.0,600.0,0.0 BOX,0.0,FRUITS,0.0,"","",""
 WATERMELON ,162.96,"",250.0,350.0,0.0 BOX,0.0,FRUITS,0.0,"","",""
 WATERMELON ,05/01/26,"",500.0,550.0,0.0 BOX,0.0,FRUITS,0.0,"","",""
 WATERMELON ,15/01/26,"",400.0,450.0,0.0 BOX,0.0,FRUITS,0.0,"","",""
 WATERMELON ,02/04/26,"",275.0,300.0,0.0 BOX,0.0,FRUITS,0.0,"","",""
 WATERMELON ,22/01/26,"",380.0,420.0,0.0 BOX,0.0,FRUITS,0.0,"","",""
 WATERMELON ,25/01/26,"",330.0,380.0,0.0 BOX,0.0,FRUITS,0.0,"","",""
 WATERMELON ,30/01/26,"",330.0,380.0,0.0 BOX,0.0,FRUITS,0.0,"","",""
 WATERMELON ,07/02/26,"",320.0,350.0,0.0 BOX,0.0,FRUITS,0.0,"","",""
 WATERMELON ,batch#2,"",450.0,500.0,0.0 BOX,0.0,FRUITS,0.0,"","",""
 WATERMELON ,18/03/26,"",270.0,300.0,0.0 BOX,0.0,FRUITS,0.0,"","",""
 WATERMELON ,22/03/26,"",250.0,280.0,0.0 BOX,0.0,FRUITS,0.0,"","",""
 WATERMELON ,20/02/26,"",300.0,330.0,0.0 BOX,0.0,FRUITS,0.0,"","",""
 WATERMELON ,22/04/26,"",275.0,325.0,0.0 BOX,0.0,FRUITS,0.0,"","",""
 WATERMELON ,24/04/26,"",280.0,325.0,0.0 BOX,0.0,FRUITS,0.0,"","",""
 WATERMELON ,28/04/26,"",400.0,450.0,0.0 BOX,0.0,FRUITS,0.0,"","",""
 WATERMELON ,27/04/26,"",350.0,375.0,0.0 BOX,0.0,FRUITS,0.0,"","",""
 WATERMELON ,14/13/26,"",162.96,200.0,0.0 BOX,0.0,FRUITS,0.0,"","",""
 WATERMELON ,01/04/26,"",250.0,300.0,0.0 BOX,0.0,FRUITS,0.0,"","",""
 WATERMELON ,Batch #1,"",275.0,300.0,0.0 BOX,0.0,FRUITS,0.0,"","",""
ALFAHAM / BBQ MARINADE,Batch #1,610998145354,375.0,430.0,4.0 PCS,1500.0,FROZEN,0.0,"","",""
ALFREDO PASTA SAUCE MIX,Batch #1,159181724768,245.0,287.0,1.0 PCS,245.0,FROZEN,0.0,"","",""
ALUMINIUM FOIL,02/01/26,FIZZY FOIL NO.75,160.0,180.0,0.0 PCS,0.0,FOIL,0.0,"","",""
ALUMINIUM FOIL,27/03/26,FIZZY FOIL NO.75,490.0,550.0,0.0 PCS,0.0,FOIL,0.0,"","",""
ALUMINIUM FOIL,16/03/26,FIZZY FOIL NO.75,470.0,550.0,0.0 PCS,0.0,FOIL,0.0,"","",""
ALUMINIUM FOIL,01/06/26,FIZZY FOIL NO.75,170.0,185.0,0.0 PCS,0.0,FOIL,0.0,"","",""
ALUMINIUM FOIL,Batch #1,FIZZY FOIL NO.75,165.0,180.0,17.0 PCS,2805.0,FOIL,0.0,"","",""
APPLE KG,25/03/26,227907232504,17.65,25.0,0.0 KGS,0.0,FRUITS,0.0,"","",""
